score,k,n,n_flagged,events_total,events_captured,capture_share,expected_share,lift,precision,base_rate
learned_weights,0.001,670890,671,389,4,0.010282776349614395,0.001000163961305132,10.281090648573475,0.005961251862891207,0.0005798267972394878
learned_weights,0.005,670890,3355,389,9,0.02313624678663239,0.00500081980652566,4.626490791858064,0.002682563338301043,0.0005798267972394878
learned_weights,0.01,670890,6709,389,16,0.04113110539845758,0.010000149055731938,4.113049232489374,0.002384856163362647,0.0005798267972394878
learned_weights,0.02,670890,13418,389,27,0.06940874035989718,0.020000298111463876,3.4703852899129095,0.0020122223878372334,0.0005798267972394878
learned_weights,0.05,670890,33545,389,50,0.12853470437017994,0.05000074527865969,2.5706557703058586,0.0014905351021016545,0.0005798267972394878
learned_weights,0.1,670890,67089,389,79,0.20308483290488433,0.1,2.030848329048843,0.0011775402823115562,0.0005798267972394878
learned_weights,0.2,670890,134178,389,136,0.3496143958868895,0.2,1.7480719794344473,0.0010135789771795675,0.0005798267972394878
equal_weights,0.001,670890,671,389,2,0.005141388174807198,0.001000163961305132,5.140545324286737,0.0029806259314456036,0.0005798267972394878
equal_weights,0.005,670890,3355,389,6,0.015424164524421594,0.00500081980652566,3.0843271945720425,0.0017883755588673621,0.0005798267972394878
equal_weights,0.01,670890,6709,389,10,0.02570694087403599,0.010000149055731938,2.5706557703058586,0.0014905351021016545,0.0005798267972394878
equal_weights,0.02,670890,13418,389,16,0.04113110539845758,0.020000298111463876,2.056524616244687,0.0011924280816813235,0.0005798267972394878
equal_weights,0.05,670890,33545,389,42,0.10796915167095116,0.05000074527865969,2.159350847056921,0.0012520494857653898,0.0005798267972394878
equal_weights,0.1,670890,67089,389,83,0.2133676092544987,0.1,2.133676092544987,0.001237162575086825,0.0005798267972394878
equal_weights,0.2,670890,134178,389,132,0.3393316195372751,0.2,1.6966580976863754,0.000983767830791933,0.0005798267972394878
unadjusted,0.001,670890,671,389,0,0.0,0.001000163961305132,0.0,0.0,0.0005798267972394878
unadjusted,0.005,670890,3355,389,3,0.007712082262210797,0.00500081980652566,1.5421635972860213,0.0008941877794336811,0.0005798267972394878
unadjusted,0.01,670890,6709,389,6,0.015424164524421594,0.010000149055731938,1.5423934621835151,0.0008943210612609927,0.0005798267972394878
unadjusted,0.02,670890,13418,389,20,0.05141388174807198,0.020000298111463876,2.5706557703058586,0.0014905351021016545,0.0005798267972394878
unadjusted,0.05,670890,33545,389,51,0.13110539845758354,0.05000074527865969,2.6220688857119754,0.0015203458041436876,0.0005798267972394878
unadjusted,0.1,670890,67089,389,88,0.2262210796915167,0.1,2.262210796915167,0.0013116904410559109,0.0005798267972394878
unadjusted,0.2,670890,134178,389,131,0.33676092544987146,0.2,1.6838046272493572,0.0009763150441950245,0.0005798267972394878
