exclusion_year,exclusion_theme,n_prescribers,n_industry_paid,avg_days_to_exclusion
2025,program_fraud,46,28.0,1289.608695652174
2025,controlled_substance,25,18.0,1276.84
2026,licensure,43,30.0,1599.5581395348838
2025,licensure,63,28.0,1262.6190476190477
2026,program_fraud,42,29.0,1568.5714285714287
2026,controlled_substance,13,6.0,1566.3076923076924
2024,program_fraud,60,34.0,905.8333333333334
2022,program_fraud,38,17.0,176.55263157894737
2023,licensure,28,14.0,593.7142857142857
2024,controlled_substance,25,13.0,940.44
2023,program_fraud,44,27.0,595.5454545454545
2024,licensure,57,30.0,993.719298245614
2023,controlled_substance,21,11.0,609.6190476190476
2022,licensure,22,13.0,236.22727272727272
