score,k,n,n_flagged,events_total,events_captured,capture_share,expected_share,lift,precision,base_rate
learned_weights,0.001,670890,671,389,4,0.0102827763496143,0.0010001639613051,10.281090648573477,0.0059612518628912,0.0005798267972394
learned_weights,0.005,670890,3355,389,9,0.0231362467866323,0.0050008198065256,4.626490791858064,0.002682563338301,0.0005798267972394
learned_weights,0.01,670890,6709,389,16,0.0411311053984575,0.0100001490557319,4.113049232489374,0.0023848561633626,0.0005798267972394
learned_weights,0.02,670890,13418,389,27,0.0694087403598971,0.0200002981114638,3.470385289912909,0.0020122223878372,0.0005798267972394
learned_weights,0.05,670890,33545,389,50,0.1285347043701799,0.0500007452786596,2.5706557703058586,0.0014905351021016,0.0005798267972394
learned_weights,0.1,670890,67089,389,79,0.2030848329048843,0.1,2.030848329048843,0.0011775402823115,0.0005798267972394
learned_weights,0.2,670890,134178,389,136,0.3496143958868895,0.2,1.7480719794344473,0.0010135789771795,0.0005798267972394
equal_weights,0.001,670890,671,389,2,0.0051413881748071,0.0010001639613051,5.140545324286737,0.0029806259314456,0.0005798267972394
equal_weights,0.005,670890,3355,389,6,0.0154241645244215,0.0050008198065256,3.0843271945720425,0.0017883755588673,0.0005798267972394
equal_weights,0.01,670890,6709,389,10,0.0257069408740359,0.0100001490557319,2.5706557703058586,0.0014905351021016,0.0005798267972394
equal_weights,0.02,670890,13418,389,16,0.0411311053984575,0.0200002981114638,2.056524616244687,0.0011924280816813,0.0005798267972394
equal_weights,0.05,670890,33545,389,42,0.1079691516709511,0.0500007452786596,2.159350847056921,0.0012520494857653,0.0005798267972394
equal_weights,0.1,670890,67089,389,83,0.2133676092544987,0.1,2.133676092544987,0.0012371625750868,0.0005798267972394
equal_weights,0.2,670890,134178,389,132,0.3393316195372751,0.2,1.6966580976863754,0.0009837678307919,0.0005798267972394
unadjusted,0.001,670890,671,389,0,0.0,0.0010001639613051,0.0,0.0,0.0005798267972394
unadjusted,0.005,670890,3355,389,3,0.0077120822622107,0.0050008198065256,1.5421635972860213,0.0008941877794336,0.0005798267972394
unadjusted,0.01,670890,6709,389,6,0.0154241645244215,0.0100001490557319,1.5423934621835151,0.0008943210612609,0.0005798267972394
unadjusted,0.02,670890,13418,389,20,0.0514138817480719,0.0200002981114638,2.5706557703058586,0.0014905351021016,0.0005798267972394
unadjusted,0.05,670890,33545,389,51,0.1311053984575835,0.0500007452786596,2.6220688857119754,0.0015203458041436,0.0005798267972394
unadjusted,0.1,670890,67089,389,88,0.2262210796915167,0.1,2.262210796915167,0.0013116904410559,0.0005798267972394
unadjusted,0.2,670890,134178,389,131,0.3367609254498714,0.2,1.6838046272493572,0.000976315044195,0.0005798267972394
