dimension,dimension_value,n_prescribers,n_top_1pct,n_later_exclusions,n_exclusions_in_top_1pct,share_top_1pct
prescriber_specialty,Dentist,23217,8.0,20.0,0.0,0.00034457509583494855
prescriber_specialty,Ophthalmology,16517,2.0,5.0,0.0,0.00012108736453351092
prescriber_specialty,Neurology,11693,112.0,6.0,1.0,0.00957838022748653
prescriber_specialty,Nurse Practitioner,130497,1255.0,62.0,2.0,0.009617079319831107
prescriber_specialty,Dermatology,10866,10.0,1.0,0.0,0.0009203018590097553
prescriber_specialty,Clinical Cardiac Electrophysiology,2242,0.0,0.0,0.0,0.0
prescriber_specialty,Gastroenterology,12569,59.0,3.0,1.0,0.004694088630758215
prescriber_specialty,Podiatry,8258,6.0,9.0,0.0,0.0007265681763138775
prescriber_specialty,Pulmonary Disease,8086,56.0,1.0,0.0,0.006925550333910463
prescriber_specialty,Medical Oncology,2660,4.0,0.0,0.0,0.0015037593984962407
prescriber_specialty,General Surgery,5154,162.0,5.0,1.0,0.03143189755529686
prescriber_specialty,Student in an Organized Health Care Education/Training Program,10001,37.0,0.0,0.0,0.0036996300369963003
prescriber_specialty,Allergy/ Immunology,3112,3.0,1.0,0.0,0.0009640102827763496
prescriber_specialty,Sleep Medicine,375,10.0,0.0,0.0,0.02666666666666667
prescriber_specialty,Geriatric Psychiatry,160,0.0,0.0,0.0,0.0
prescriber_specialty,Pain Medicine,49,2.0,0.0,0.0,0.04081632653061224
prescriber_specialty,Licensed Practical Nurse,14,0.0,0.0,0.0,0.0
prescriber_specialty,Interventional Pain Management,1393,4.0,10.0,0.0,0.002871500358937545
prescriber_specialty,Cardiology,17992,12.0,10.0,0.0,0.0006669630947087594
prescriber_specialty,Orthopedic Surgery,12508,61.0,3.0,1.0,0.004876878797569556
prescriber_specialty,Endocrinology,5926,9.0,5.0,0.0,0.0015187310158623017
prescriber_specialty,Neurosurgery,1360,16.0,1.0,0.0,0.011764705882352941
prescriber_specialty,Micrographic Dermatologic Surgery,272,0.0,0.0,0.0,0.0
prescriber_specialty,Oral Surgery (Dentist only),4059,7.0,4.0,0.0,0.0017245627001724563
prescriber_specialty,Certified Clinical Nurse Specialist,1439,1.0,2.0,0.0,0.0006949270326615705
prescriber_specialty,Pain Management,2200,12.0,11.0,0.0,0.005454545454545455
prescriber_specialty,Pediatric Medicine,1178,19.0,2.0,0.0,0.016129032258064516
