generic_name_key,generic_name,example_brand_name,n_brand_products,is_single_brand_equivalent,brand_premium_per_fill,n_paid_prescriber_cells,paid_total_fills,observed_brand_fills,expected_brand_fills,net_excess_brand_fills,estimated_savings_usd,savings_rank,share_of_headline_savings
DIMETHYL FUMARATE,Dimethyl Fumarate,Tecfidera,1,True,5362.764449899705,2198.0,73559.4,45668.399999999994,38662.67720097197,7005.722799028028,37570041.172479376,1,0.29280724702373095
SEVELAMER CARBONATE,Sevelamer Carbonate,Renvela,1,True,1065.6569179690594,8600.0,703865.9000000003,70535.9,55648.07655484255,14887.82344515746,15865312.047833996,2,0.12364847625723624
AMBRISENTAN,Ambrisentan,Letairis,1,True,6546.273130514351,1236.0,48904.3,7681.5,5790.404170082785,1891.0958299172155,12379629.8186148,3,0.09648233574512938
DALFAMPRIDINE,Dalfampridine,Ampyra,1,True,2727.405629081395,1969.0,100283.4,10126.2,5928.78429307524,4197.4157069247585,11448055.22666125,4,0.08922198193250211
ABIRATERONE ACETATE,Abiraterone Acetate,Zytiga,1,True,7356.378330598548,3281.0,124891.3,5288.4,3734.4223770059234,1553.9776229940765,11431647.312028661,5,0.08909410460889439
PREDNISONE,Prednisone,Rayos,1,True,4020.634908573177,118563.0,8481412.600000001,2393.5,325.0822421037787,2068.417757896221,8316352.6429102095,6,0.06481463013228761
SOFOSBUVIR VELPATASVIR,Sofosbuvir/Velpatasvir,Epclusa,1,True,16146.53864908356,527.0,11418.699999999999,10298.6,9891.903102093598,406.69689790640257,6566747.18050812,7,0.05117884100786942
BOSENTAN,Bosentan,Tracleer,1,True,7265.099904730631,331.0,6155.0,1238.0,442.6291478754678,795.3708521245322,5778448.70199546,8,0.04503512915334618
ESOMEPRAZOLE MAGNESIUM,Esomeprazole Magnesium,Nexium,1,True,292.0430106332119,47697.0,2960795.9000000022,59563.5,42301.59563196947,17261.90436803054,5041218.5209022295,9,0.039289425049437963
IMATINIB MESYLATE,Imatinib Mesylate,Gleevec,1,True,7123.576496359762,2924.0,66529.7,3938.3,3364.516569536201,573.7834304637983,4087390.1592525886,10,0.03185563344336515
