prescriber_specialty,n_prescribers,n_industry_paid,total_payment_usd,total_fills,brand_fills,paid_brand_fills,paid_expected_brand_fills,n_later_exclusions,share_industry_paid,brand_fill_share,paid_brand_oe_ratio,estimated_savings_usd
Physician Assistant,60373,31134.0,26463943.919999965,117587714.40000008,14208243.899999999,9462496.600000003,7810335.269263957,19.0,0.5156941016679641,0.12083102365326687,1.2115352636957601,2338941.266443591
Pharmacist,2040,2.0,1447.31,2933609.000000001,778475.5,541.7,786.8599333670059,0.0,0.000980392156862745,0.2653644367739531,0.6884325621741135,-25.62609015409523
Obstetrics & Gynecology,12251,7419.0,10276424.910000002,6083794.100000001,1677494.9000000004,1121689.1999999986,987892.7386781361,13.0,0.6055832176965146,0.2757317017023966,1.1354362230669806,-35279.439924356004
Geriatric Medicine,1716,356.0,412947.03999999986,12779359.000000002,1517270.9999999988,629142.1000000001,529985.7744690981,1.0,0.20745920745920746,0.11872825546257826,1.1870924283396658,-136320.00573138348
Rheumatology,4892,3264.0,22126795.04999999,18283475.500000004,4129209.599999997,3112234.4000000027,3203245.386980587,3.0,0.6672117743254292,0.22584380086816622,0.9715878816682314,6065301.563562196
Infectious Disease,3954,1841.0,5216725.58,3846261.9000000004,1319347.0000000002,738704.5999999997,796796.9006690836,2.0,0.4656044511886697,0.34302058317973616,0.9270927125591192,2157795.730987706
Optometry,15029,7438.0,8867718.840000013,9223191.100000009,2838952.899999993,2038227.4999999988,1353496.2297973912,1.0,0.4949098409741167,0.30780592847089444,1.5058981732849799,133404.02391037467
Psychiatry,17526,7361.0,22990431.999999993,43684059.89999996,4595394.100000004,2771650.6999999983,2418183.9714045282,30.0,0.42000456464681046,0.10519613127808225,1.146170321520314,1626443.4742538095
General Practice,5855,2719.0,1780560.1399999997,40432378.099999994,4650054.699999997,3143393.899999997,2728948.5113663543,25.0,0.46438941076003415,0.11500819191241185,1.1518699920161317,60811.305129557106
Plastic and Reconstructive Surgery,752,375.0,2615007.8000000007,194360.4,33236.299999999996,17032.0,16049.609159703195,0.0,0.49867021276595747,0.17100345543639547,1.0612096425851514,-11051.306038076147
