prescriber_state,n_prescribers,n_industry_paid,total_payment_usd,total_drug_cost,total_fills,brand_fills,paid_brand_fills,paid_expected_brand_fills,n_later_exclusions,state_name,census_region,share_industry_paid,brand_fill_share,paid_brand_oe_ratio,later_exclusions_per_1000
AL,9820,6525.0,16412537.019999998,3861996837.9699955,45096468.99999989,5752232.899999982,4962440.300000005,4467092.570590778,14.0,Alabama,South,0.6644602851323829,0.12755395328179675,1.110888172022752,1.4256619144602851
AK,1266,483.0,566972.7100000005,286544972.5299999,2275619.8999999985,332181.89999999985,175170.69999999992,141734.64679352386,1.0,Alaska,West,0.3815165876777251,0.14597424640204634,1.235905997318955,0.7898894154818326
AZ,13696,7158.0,24619915.629999932,3866758849.940005,44109630.90000017,5280010.299999986,3593070.1999999923,3266063.071834275,9.0,Arizona,West,0.5226343457943925,0.11970198326914509,1.1001227229767074,0.657126168224299
AR,6254,3864.0,5879618.980000013,1927845462.7299962,25339784.600000013,3119603.5000000075,2565683.5000000065,2414632.242905587,3.0,Arkansas,South,0.6178445794691397,0.1231108925843042,1.0625566305337892,0.47969299648225133
CA,64934,26833.0,111231300.37999935,20567481835.56997,219961811.7999979,29118240.100000326,17651671.999999914,14105815.84569077,85.0,California,West,0.41323497705362366,0.13237861545928858,1.2513754747048098,1.3090214679520744
CO,10821,4266.0,17179056.370000005,2629498403.6699924,27540049.700000007,3301028.4000000027,1432119.8000000026,1306692.2804561362,4.0,Colorado,West,0.3942334349875243,0.11986283379873501,1.0959885670251932,0.3696516033638296
CT,9242,3890.0,11268098.359999992,3017715347.660001,26676660.80000006,4088446.5000000005,2307823.4,2049911.7103385318,5.0,Connecticut,Northeast,0.42090456611123134,0.15325930522758646,1.1258159989821588,0.5410084397316598
DE,2173,1187.0,1914653.1200000013,710786905.0700003,7521925.199999987,1037341.1000000009,770418.1000000003,688423.3901657759,0.0,Delaware,South,0.5462494247583985,0.13790898904445403,1.1191050609342017,0.0
DC,1746,703.0,5361379.030000003,443404706.04999995,2687927.999999995,393344.1999999999,204382.00000000006,167319.03823107178,0.0,District of Columbia,South,0.40263459335624285,0.1463373274879389,1.221510726817252,0.0
FL,46386,27263.0,116791568.0400006,15638248518.429976,188337454.59999862,23661827.10000013,17591323.100000024,15932489.34865453,45.0,Florida,South,0.5877419911180097,0.1256352707444964,1.1041164199168652,0.9701202949165697
GA,18707,11825.0,30405910.169999883,6601005255.599985,71644676.40000002,9499035.899999965,7678666.199999967,6730768.7940167105,11.0,Georgia,South,0.6321163200940825,0.13258536959488537,1.1408304808844252,0.5880151814828674
HI,2372,1114.0,2307434.560000003,737604424.2899991,7366509.4,1027392.9999999998,664111.6999999995,550325.2751698135,2.0,Hawaii,West,0.46964586846543,0.13946809054502798,1.206762127716331,0.8431703204047217
ID,3466,1605.0,2575136.579999997,910457403.7499998,10796434.200000027,1203321.7000000018,687937.6000000008,656599.6815433594,2.0,Idaho,West,0.46306982111944606,0.11145547480852509,1.0477275870481395,0.5770340450086555
IL,24451,10877.0,36913622.3900002,7013824832.760031,82428405.09999944,10140195.899999967,6058223.299999994,5378445.866970516,13.0,Illinois,Midwest,0.44484888143634205,0.12301822275583536,1.126389193057431,0.5316755960901395
IN,14225,7255.0,22453180.29999996,4832181620.869981,55412085.7000006,7489222.699999995,5074566.199999992,4566510.743856243,5.0,Indiana,Midwest,0.5100175746924429,0.13515504073509207,1.111256818310848,0.351493848857645
